date,contest_number,word,number_of_reported_results,number_in_hard_mode,1_try,2_tries,3_tries,4_tries,5_tries,6_tries,7_or_more_tries_x,sum,num_rare_letters,starts_with_vowel,ends_with_vowel,num_consonants,contains_y,has_double_letter,max_consecutive_vowels,max_consecutive_consonants,scrabble_score,letter_entropy,position_rarity,keyboard_distance,hamming_neighbors,has_common_suffix,has_common_prefix,letter_freq_mean,letter_freq_min,positional_freq_mean,positional_freq_min,semantic_neighbors_count,semantic_density,Zipf-value,autoencoder_value,expected_attempts,semantic_difficulty,position_self_entropy,positional_fit,letter_commonness,position_self_entropy_2_letters,mean_simulate_random,1_try_simulate_random,2_try_simulate_random,3_try_simulate_random,4_try_simulate_random,5_try_simulate_random,6_try_simulate_random,7_try_simulate_random,mean_simulate_freq,1_try_simulate_freq,2_try_simulate_freq,3_try_simulate_freq,4_try_simulate_freq,5_try_simulate_freq,6_try_simulate_freq,7_try_simulate_freq,mean_simulate_entropy,1_try_simulate_entropy,2_try_simulate_entropy,3_try_simulate_entropy,4_try_simulate_entropy,5_try_simulate_entropy,6_try_simulate_entropy,7_try_simulate_entropy,rl_1_try_low_training,rl_2_try_low_training,rl_3_try_low_training,rl_4_try_low_training,rl_5_try_low_training,rl_6_try_low_training,rl_7_try_low_training,rl_expected_steps_low_training,rl_1_try_high_training,rl_2_try_high_training,rl_3_try_high_training,rl_4_try_high_training,rl_5_try_high_training,rl_6_try_high_training,rl_7_try_high_training,rl_expected_steps_high_training,semantic_distance,semantic_distance_to_center,rl_1_try_little_training,rl_2_try_little_training,rl_3_try_little_training,rl_4_try_little_training,rl_5_try_little_training,rl_6_try_little_training,rl_7_try_little_training,rl_expected_steps_little_training,feedback_entropy,position_self_information,position_self_information_2_letters
2022/12/21,550,lunar,22180,2036,0,5,32,40,17,4,0,98,0,0,0,3,0,0,1,1,5,2.321928094887362,17.23590306896305,3.183358282190186,0,0,0,0.062061281,0.035654596,0.066295265,0.036211699,0,0.3854261606931686,3.317140007,-1.030753136,3.82,0.4932743907206963,18.987452958757245,7.73,5.54,-29.642344151744815,4.9078,0.0004,0.0087,0.0921,0.2702,0.3368,0.1937,0.0981,4.1819,0.0,0.0242,0.2086,0.4214,0.2679,0.0627,0.0152,3.795,0.0,0.011,0.291,0.592,0.104,0.002,0.0,0.002,0.166,0.398,0.314,0.106,0.012,0.002,3.4,0.0,0.086,0.782,0.132,0.0,0.0,0.0,3.0460000000000003,-0.0341573954675228,8.067135292039538,0.0,0.166,0.432,0.284,0.1,0.018,0.0,3.3720000000000003,5.182413492756906,1.3792629741965476,-5336.704539815324
2022/12/20,549,third,24137,2261,1,10,47,32,9,2,0,101,0,0,0,4,0,0,1,2,9,2.321928094887362,12.26677115987461,2.266123775561495,2,0,0,0.0545961,0.030083565,0.086908078,0.055710306,6,0.6639643490314484,4.871846254673884,-1.431944013,3.4400000000000004,-3.073747933,21.568764511249952,6.118,6.472,-26.114297311112978,4.783,0.0001,0.0096,0.1063,0.306,0.3249,0.1754,0.0777,3.8842,0.0,0.0326,0.2972,0.4579,0.181,0.0283,0.003,3.732,0.0,0.016,0.305,0.61,0.069,0.0,0.0,0.006,0.176,0.51,0.278,0.028,0.002,0.0,3.152,0.0,0.04,0.91,0.05,0.0,0.0,0.0,3.01,-0.1793286777221163,7.021268364359019,0.002,0.144,0.532,0.292,0.028,0.002,0.0,3.2060000000000004,4.589999741913871,1.0977881361798831,-2978.3056743568736
2022/12/19,548,slate,26010,2422,6,14,33,27,13,5,1,99,0,0,1,3,0,0,1,2,5,2.321928094887362,8.429955291734053,5.280776406404415,18,0,0,0.074986072,0.04902507,0.1314763231197771,0.075208914,0,0.3075140744447708,3.511942230184515,-1.291637778,3.4800000000000004,1.0070573848309747,18.389727089456663,9.556,8.058,-28.43076677211994,5.2706,0.0,0.0093,0.0782,0.198,0.2678,0.2405,0.2062,4.3417,0.0002,0.0243,0.177,0.3769,0.2973,0.1023,0.022,3.855,0.0,0.042,0.298,0.436,0.212,0.011,0.001,0.002,0.114,0.35,0.348,0.154,0.03,0.002,3.636,0.0,0.576,0.388,0.034,0.002,0.0,0.0,2.4619999999999997,-0.0305352271101184,7.395738746310704,0.002,0.116,0.376,0.328,0.14,0.03,0.008,3.6100000000000008,5.592394424113624,1.4545581077218706,-4357.654787385964
2022/12/18,547,taper,22166,2108,0,8,28,30,20,11,3,100,0,0,0,3,0,0,1,1,7,2.321928094887362,12.73893410852713,5.294622691,18,1,0,0.074763231,0.035654596,0.094707521,0.038997214,0,0.2719012469053268,2.291834142,-0.746213496,4.130000000000001,1.241902401092168,18.766582459209072,9.488,7.57,-30.78519189627158,5.8171,0.0001,0.0072,0.0527,0.1416,0.1715,0.1677,0.4592,4.7222,0.0,0.0196,0.1299,0.3043,0.2926,0.1621,0.0915,3.928,0.0,0.012,0.251,0.547,0.177,0.013,0.0,0.0,0.148,0.346,0.33,0.134,0.04,0.002,3.578,0.002,0.06,0.876,0.06,0.002,0.0,0.0,3.0,0.0230342441042663,6.8197255705239925,0.002,0.134,0.38,0.326,0.126,0.026,0.006,3.5420000000000003,5.297183791170243,1.470444220130084,-8981.503500704644
2022/12/17,546,chord,22336,2088,0,7,39,38,13,3,0,100,0,0,0,4,0,0,1,2,11,2.321928094887362,11.85337722048067,3.184692220677464,5,0,0,0.051476323,0.030083565,0.091922006,0.055710306,0,0.3736782640218735,3.264961995744159,-1.210047841,3.66,0.5707446500464799,21.66214282710175,6.13,5.324,-27.100832183960023,5.0155,0.0001,0.0062,0.0803,0.2547,0.3279,0.2118,0.119,4.1973,0.0002,0.0241,0.1952,0.4226,0.2838,0.0648,0.0093,4.048,0.0,0.011,0.175,0.581,0.222,0.01,0.001,0.0,0.148,0.5,0.27,0.076,0.006,0.0,3.2920000000000003,0.0,0.014,0.154,0.408,0.42,0.004,0.0,4.246,-0.0181999645027797,7.960448378203409,0.002,0.14,0.466,0.302,0.078,0.012,0.0,3.35,4.347700777391845,1.0862572711352334,-3888.470598332164
2022/12/16,545,probe,22853,2160,0,6,24,32,24,11,3,100,0,0,1,3,0,0,1,2,9,2.321928094887362,43.38184131481094,4.575140769936443,6,0,0,0.060835655,0.017270195,0.1030640668523677,0.005571031,0,0.3865151643753052,3.645942581291861,-0.600423157,4.25,0.4860930713728686,20.82393586301387,7.428,5.884,-25.915595450626604,5.6069,0.0001,0.0048,0.05,0.1672,0.2363,0.1943,0.3473,4.6548,0.0001,0.0201,0.1488,0.3046,0.2833,0.1685,0.0746,4.425,0.0,0.016,0.177,0.33,0.328,0.141,0.008,0.004,0.112,0.38,0.346,0.13,0.028,0.0,3.57,0.002,0.014,0.502,0.438,0.042,0.002,0.0,3.51,-0.0753944152685011,7.665176135608043,0.0,0.11,0.36,0.352,0.144,0.034,0.0,3.632,4.685023877060826,1.210630405585371,-3286.2089922384653
2022/12/15,544,rival,22176,2127,0,7,27,35,22,8,1,100,1,0,0,3,0,0,1,1,8,2.321928094887362,22.92761175243643,4.908603403791989,5,0,0,0.059275766,0.013927577,0.055153203,0.022284123,0,0.3771564811468124,3.579635872074686,-0.832878411,4.0200000000000005,0.5478079159059084,21.418592066266577,6.564,5.228,-26.91328886296893,5.1235,0.0,0.0094,0.075,0.2186,0.3167,0.2403,0.14,4.3456,0.0,0.0248,0.1708,0.3693,0.3215,0.0963,0.0173,4.061,0.0,0.018,0.189,0.516,0.268,0.009,0.0,0.002,0.142,0.39,0.316,0.126,0.024,0.0,3.494,0.002,0.854,0.138,0.006,0.0,0.0,0.0,2.148,-0.1053060212949012,7.531927368576945,0.002,0.138,0.4,0.342,0.1,0.018,0.0,3.454,4.805598316130765,1.1652929480825214,-3292.449434234846
2022/12/14,543,usual,20824,2048,0,3,20,39,27,10,1,100,0,1,0,2,0,0,2,1,5,1.921928094887362,34.79708141321045,6.070200389370947,0,0,0,0.054261838,0.035654596,0.052924791,0.011142061,0,0.4249249875545501,4.570587743097289,-0.571114123,4.26,0.2328035638455989,25.061944638000867,5.262,4.81,-21.733627749016502,4.884,0.0001,0.0057,0.081,0.2863,0.3657,0.1726,0.0886,4.2642,0.0,0.0206,0.1701,0.4441,0.2832,0.0537,0.0283,4.192,0.0,0.007,0.124,0.55,0.308,0.011,0.0,0.006,0.086,0.314,0.414,0.15,0.024,0.006,3.712,0.0,0.006,0.094,0.098,0.764,0.038,0.0,4.734,-0.1016833022651772,5.926191602216118,0.004,0.098,0.336,0.388,0.144,0.022,0.008,3.668,4.110956718140517,0.869624799240101,-1948.2707057788307
2022/12/13,542,spoke,24101,2224,0,6,31,38,19,5,0,99,1,0,1,3,0,0,1,2,11,2.321928094887362,16.88195023563598,3.893872706066107,12,0,0,0.056155989,0.019498607,0.1091922005571031,0.030640669,1,0.4843214452266693,4.586520766423903,-0.990088701,3.859999999999999,-1.023995963,21.839318867916944,7.738,5.848,-24.455202658329924,5.28,0.0,0.0059,0.0618,0.1929,0.298,0.2686,0.1728,4.2704,0.0,0.0247,0.1923,0.3876,0.2918,0.0905,0.0131,4.08,0.0,0.011,0.172,0.561,0.238,0.018,0.0,0.0,0.134,0.44,0.314,0.098,0.012,0.002,3.4200000000000004,0.0,0.026,0.578,0.392,0.004,0.0,0.0,3.374,-0.1171127003851926,6.442249863934856,0.0,0.148,0.404,0.32,0.118,0.008,0.002,3.44,4.713593458726138,1.170272439618198,-2052.1942363921235
2022/12/12,541,apply,22873,2150,0,5,28,38,22,7,1,101,0,1,0,4,1,1,1,4,12,1.921928094887362,18.67710265924551,3.407969090169723,4,1,0,0.051253482,0.033983287,0.070194986,0.030640669,1,0.4973062962293625,4.097335,-0.811157227,4.03,-0.93009542,23.690521027214928,6.232,3.606,-21.068494899611363,5.1445,0.0001,0.0051,0.0565,0.2156,0.3523,0.252,0.1184,4.3317,0.0003,0.018,0.1597,0.3983,0.3336,0.0756,0.0145,4.299,0.0,0.006,0.11,0.465,0.417,0.002,0.0,0.0,0.082,0.296,0.38,0.206,0.03,0.006,3.824,0.0,0.004,0.626,0.256,0.11,0.004,0.0,3.484,-0.07968407943009,6.442897994271252,0.002,0.096,0.31,0.344,0.194,0.05,0.004,3.798,3.5741794519744543,0.971834899686044,-1438.8233223977165
2022/12/11,540,naive,21947,2075,1,7,24,32,24,11,1,100,1,0,1,2,0,0,2,1,8,2.321928094887362,23.25787983,4.719572814489408,1,0,0,0.062172702,0.013927577,0.1008356545961003,0.016713092,1,0.4661977440118789,3.810348082022347,-0.744110107,4.1,-0.72495337,20.55021071967258,8.77,7.114,-26.86262941271431,5.0876,0.0,0.0071,0.0884,0.2484,0.2919,0.1943,0.1699,4.3698,0.0003,0.0209,0.1753,0.3719,0.2979,0.1112,0.0225,4.155,0.0,0.014,0.15,0.518,0.303,0.015,0.0,0.004,0.102,0.346,0.38,0.142,0.024,0.002,3.634,0.0,0.718,0.254,0.024,0.004,0.0,0.0,2.314,-0.0187589498816512,6.484372150895187,0.002,0.102,0.384,0.378,0.118,0.016,0.0,3.556,5.174341811633918,1.3502585157238634,-4155.653646596814
2022/12/10,539,knock,21157,2041,0,3,18,43,27,8,1,100,2,0,0,4,0,0,1,2,15,1.921928094887362,37.85931011351909,4.316298521723331,3,0,0,0.040334262,0.019498607,0.058495822,0.008356546,0,0.4207756131887435,4.810348082022347,-0.575064421,4.24,0.2601661732686317,24.444332845209026,4.348,3.716,-23.067628676204443,5.1047,0.0001,0.0047,0.0651,0.2492,0.3193,0.2246,0.137,4.3076,0.0004,0.0162,0.1656,0.4161,0.308,0.0823,0.0114,4.58,0.0,0.002,0.077,0.392,0.397,0.132,0.0,0.012,0.09,0.364,0.398,0.126,0.01,0.0,3.5660000000000003,0.0,0.004,0.056,0.776,0.162,0.002,0.0,4.101999999999999,-0.0481335505621067,6.2899736217681035,0.006,0.088,0.35,0.422,0.118,0.014,0.002,3.608,3.4646876065882095,0.8507838977980808,-1444.685425470703
2022/12/9,538,braid,23640,2165,0,10,36,35,14,3,0,98,0,0,0,3,0,0,2,2,8,2.321928094887362,13.91204711283579,4.392108240781607,4,0,0,0.053481894,0.017270195,0.079665738,0.055710306,0,0.3534421056509018,2.982030222172974,-1.24134326,3.63,0.7041898513979123,19.79241218349662,7.75,5.334,-28.117698897612133,5.0142,0.0,0.0082,0.0869,0.254,0.3154,0.2044,0.1311,4.487,0.0002,0.0177,0.1434,0.3551,0.3302,0.124,0.0294,4.194,0.0,0.003,0.151,0.527,0.287,0.032,0.0,0.002,0.148,0.42,0.344,0.086,0.0,0.0,3.364,0.002,0.876,0.116,0.006,0.0,0.0,0.0,2.126,0.0340019330933319,6.669601014169813,0.004,0.132,0.43,0.35,0.08,0.004,0.0,3.382,4.9538367207266,1.2952294944844864,-4463.20310009571
2022/12/8,537,infer,21199,1863,0,3,19,33,26,14,3,98,0,1,0,3,0,0,1,2,8,2.321928094887362,33.07472542505374,1.869677166154769,4,1,0,0.060278552,0.018384401,0.060724234,0.011142061,0,0.3861651837825775,2.768955396864123,-0.399069011,4.450000000000001,0.05584304,24.532076853629725,5.462,6.928,-24.69019794714754,5.5092,0.0001,0.0069,0.0741,0.1818,0.2077,0.1985,0.3309,4.785,0.0001,0.0145,0.1229,0.2666,0.3241,0.2023,0.0695,4.624,0.0,0.011,0.078,0.339,0.425,0.142,0.005,0.0,0.096,0.322,0.316,0.208,0.048,0.01,3.82,0.0,0.828,0.096,0.032,0.038,0.006,0.0,2.298,0.0684147800547822,5.4463978560414485,0.0,0.074,0.322,0.332,0.212,0.058,0.002,3.864,4.6959277808258015,0.9415210570625036,-6378.363876708956
2022/12/7,536,joust,24899,2388,0,6,29,34,21,8,2,100,1,0,0,3,0,0,2,2,12,2.321928094887362,44.69663478039438,3.124341287815239,2,0,0,0.046685237,0.002228412,0.083008357,0.005571031,0,0.361522901,3.062686153786604,-0.790501118,4.0600000000000005,0.650901903,22.176464319275272,6.51,5.162,-26.864429126081504,5.1233,0.0001,0.0052,0.0645,0.22,0.3367,0.2587,0.1148,4.7613,0.0,0.0044,0.0979,0.3123,0.354,0.1802,0.0512,3.964,0.0,0.007,0.188,0.642,0.16,0.003,0.0,0.0,0.108,0.354,0.39,0.144,0.004,0.0,3.582,0.0,0.03,0.828,0.134,0.008,0.0,0.0,3.12,0.1036539481893087,4.7516435442770515,0.0,0.11,0.336,0.412,0.136,0.006,0.0,3.592,4.150308668949755,1.0821873917802818,-3051.6501673646017
2022/12/6,535,amber,23509,2261,0,6,22,33,24,12,3,100,0,1,0,3,0,0,1,2,9,2.321928094887362,27.22714839424142,2.977797413761102,8,1,0,0.062729805,0.017270195,0.066852368,0.016713092,0,0.2863960713148117,3.967612483818545,-0.566918552,4.289999999999999,1.1463178179703033,22.18207464316358,6.596,6.112,-27.314263659037184,5.1038,0.0,0.0077,0.0805,0.229,0.3108,0.2271,0.1449,4.3818,0.0001,0.0223,0.1892,0.36,0.2785,0.1123,0.0376,3.794,0.0,0.018,0.292,0.575,0.108,0.007,0.0,0.002,0.108,0.308,0.326,0.192,0.054,0.01,3.7999999999999994,0.0,0.014,0.698,0.262,0.022,0.004,0.0,3.304,-0.0078117663902936,6.8510411914401255,0.0,0.094,0.328,0.328,0.202,0.042,0.006,3.7879999999999994,4.95057173246335,1.1280574487817776,-7168.49929004925
2022/12/5,534,woken,23153,2200,0,2,10,25,36,23,4,100,1,0,0,3,0,0,1,1,12,2.321928094887362,32.04238331,4.279696087857467,4,1,0,0.052367688,0.016713092,0.069637883,0.011142061,0,0.3993274122476578,3.178324867316942,0.018868804,4.88,-0.283984056,20.278570114471183,7.672,6.018,-27.329537537645592,5.4795,0.0,0.0063,0.0607,0.1619,0.2551,0.2503,0.2657,5.1006,0.0001,0.015,0.0799,0.2073,0.3128,0.2567,0.1282,5.3,0.0,0.003,0.029,0.126,0.385,0.421,0.036,0.006,0.094,0.328,0.414,0.146,0.012,0.0,3.636,0.0,0.008,0.08,0.294,0.562,0.056,0.0,4.578000000000001,0.063040366608552,6.289767964239646,0.006,0.106,0.33,0.39,0.14,0.028,0.0,3.636,4.515405601009395,1.3339282210663512,-4454.391863782438
2022/12/4,533,adore,25577,2398,2,17,32,29,15,5,1,101,0,1,1,2,0,0,1,1,6,2.321928094887362,43.35970942708686,3.520690632574555,4,0,0,0.073983287,0.030083565,0.1013927576601671,0.005571031,0,0.4092888921499252,3.888431238,-1.258730292,3.59,0.3359141375705754,22.072316848870255,7.224,7.724,-24.52118346544714,5.027,0.0,0.0073,0.0761,0.2505,0.3333,0.214,0.1188,4.2437,0.0003,0.0258,0.1832,0.4084,0.2969,0.0737,0.0117,4.002,0.0,0.021,0.219,0.508,0.241,0.011,0.0,0.006,0.126,0.368,0.336,0.144,0.02,0.0,3.5460000000000003,0.0,0.1,0.67,0.212,0.018,0.0,0.0,3.148,0.0475932629236484,5.7242630317241066,0.006,0.132,0.364,0.308,0.166,0.022,0.002,3.5700000000000003,5.295998634503953,1.1599099717314916,-2485.773024559802
