date,contest_number,word,number_of_reported_results,number_in_hard_mode,1_try,2_tries,3_tries,4_tries,5_tries,6_tries,7_or_more_tries_x,sum,num_rare_letters,starts_with_vowel,ends_with_vowel,num_consonants,contains_y,has_double_letter,max_consecutive_vowels,max_consecutive_consonants,scrabble_score,letter_entropy,position_rarity,keyboard_distance,hamming_neighbors,has_common_suffix,has_common_prefix,letter_freq_mean,letter_freq_min,positional_freq_mean,positional_freq_min,semantic_neighbors_count,semantic_density,Zipf-value,autoencoder_value,expected_attempts,semantic_difficulty,mean_simulate,1_try_simulate,2_try_simulate,3_try_simulate,4_try_simulate,5_try_simulate,6_try_simulate,7_try_simulate,position_self_information,positional_fit,letter_commonness,position_self_information_2_letters,mean_simulate_random,1_try_simulate_random,2_try_simulate_random,3_try_simulate_random,4_try_simulate_random,5_try_simulate_random,6_try_simulate_random,7_try_simulate_random,mean_simulate_freq,1_try_simulate_freq,2_try_simulate_freq,3_try_simulate_freq,4_try_simulate_freq,5_try_simulate_freq,6_try_simulate_freq,7_try_simulate_freq
2022/12/21,550,lunar,22180,2036,0,5,32,40,17,4,0,98,0,0,0,3,0,0,1,1,5,2.321928094887362,17.23590306896305,3.183358282190186,0,0,0,0.062061281,0.035654596,0.066295265,0.036211699,0,0.3854261606931686,3.317140007,-1.030753136,3.82,0.4932743907206963,4.4306,0.0003,0.0165,0.15,0.3686,0.3322,0.1149,0.0175,18.987452958757245,7.73,5.54,-29.642344151744815,4.9078,0.0004,0.0087,0.0921,0.2702,0.3368,0.1937,0.0981,4.1819,0.0,0.0242,0.2086,0.4214,0.2679,0.0627,0.0152
2022/12/20,549,third,24137,2261,1,10,47,32,9,2,0,101,0,0,0,4,0,0,1,2,9,2.321928094887362,12.26677115987461,2.266123775561495,2,0,0,0.0545961,0.030083565,0.086908078,0.055710306,15,0.6639643490314484,4.871846254673884,-1.431944013,3.4400000000000004,-3.073747933,4.1699,0.0001,0.0182,0.2079,0.44,0.2616,0.0637,0.0085,21.568764511249952,6.118,6.472,-26.114297311112978,4.783,0.0001,0.0096,0.1063,0.306,0.3249,0.1754,0.0777,3.8842,0.0,0.0326,0.2972,0.4579,0.181,0.0283,0.003
2022/12/19,548,slate,26010,2422,6,14,33,27,13,5,1,99,0,0,1,3,0,0,1,2,5,2.321928094887362,8.429955291734053,5.280776406404415,18,0,0,0.074986072,0.04902507,0.1314763231197771,0.075208914,0,0.3075140744447708,3.511942230184515,-1.291637778,3.4800000000000004,1.0070573848309747,4.7317,0.0,0.017,0.1401,0.2792,0.2988,0.1877,0.0772,18.389727089456663,9.556,8.058,-28.43076677211994,5.2706,0.0,0.0093,0.0782,0.198,0.2678,0.2405,0.2062,4.3417,0.0002,0.0243,0.177,0.3769,0.2973,0.1023,0.022
2022/12/18,547,taper,22166,2108,0,8,28,30,20,11,3,100,0,0,0,3,0,0,1,1,7,2.321928094887362,12.73893410852713,5.294622691,18,1,0,0.074763231,0.035654596,0.094707521,0.038997214,0,0.2719012469053268,2.291834142,-0.746213496,4.130000000000001,1.241902401092168,5.2856,0.0001,0.0099,0.0856,0.2042,0.2475,0.2143,0.2384,18.766582459209072,9.488,7.57,-30.78519189627158,5.8171,0.0001,0.0072,0.0527,0.1416,0.1715,0.1677,0.4592,4.7222,0.0,0.0196,0.1299,0.3043,0.2926,0.1621,0.0915
2022/12/17,546,chord,22336,2088,0,7,39,38,13,3,0,100,0,0,0,4,0,0,1,2,11,2.321928094887362,11.85337722048067,3.184692220677464,5,0,0,0.051476323,0.030083565,0.091922006,0.055710306,0,0.3736782640218735,3.264961995744159,-1.210047841,3.66,0.5707446500464799,4.4981,0.0,0.0136,0.1385,0.3644,0.3269,0.1329,0.0237,21.66214282710175,6.13,5.324,-27.100832183960023,5.0155,0.0001,0.0062,0.0803,0.2547,0.3279,0.2118,0.119,4.1973,0.0002,0.0241,0.1952,0.4226,0.2838,0.0648,0.0093
2022/12/16,545,probe,22853,2160,0,6,24,32,24,11,3,100,0,0,1,3,0,0,1,2,9,2.321928094887362,43.38184131481094,4.575140769936443,6,0,0,0.060835655,0.017270195,0.1030640668523677,0.005571031,0,0.3865151643753052,3.645942581291861,-0.600423157,4.25,0.4860930713728686,4.9108,0.0002,0.0121,0.1044,0.2711,0.3011,0.1944,0.1167,20.82393586301387,7.428,5.884,-25.915595450626604,5.6069,0.0001,0.0048,0.05,0.1672,0.2363,0.1943,0.3473,4.6548,0.0001,0.0201,0.1488,0.3046,0.2833,0.1685,0.0746
2022/12/15,544,rival,22176,2127,0,7,27,35,22,8,1,100,1,0,0,3,0,0,1,1,8,2.321928094887362,22.92761175243643,4.908603403791989,5,0,0,0.059275766,0.013927577,0.055153203,0.022284123,0,0.3771564811468124,3.579635872074686,-0.832878411,4.0200000000000005,0.5478079159059084,4.6062,0.0001,0.016,0.1344,0.3118,0.3398,0.1606,0.0373,21.418592066266577,6.564,5.228,-26.91328886296893,5.1235,0.0,0.0094,0.075,0.2186,0.3167,0.2403,0.14,4.3456,0.0,0.0248,0.1708,0.3693,0.3215,0.0963,0.0173
2022/12/14,543,usual,20824,2048,0,3,20,39,27,10,1,100,0,1,0,2,0,0,2,1,5,1.921928094887362,34.79708141321045,6.070200389370947,0,0,0,0.054261838,0.035654596,0.052924791,0.011142061,0,0.4249249875545501,4.570587743097289,-0.571114123,4.26,0.2328035638455989,4.3406,0.0,0.0148,0.1453,0.4256,0.3235,0.0804,0.0104,25.061944638000867,5.262,4.81,-21.733627749016502,4.884,0.0001,0.0057,0.081,0.2863,0.3657,0.1726,0.0886,4.2642,0.0,0.0206,0.1701,0.4441,0.2832,0.0537,0.0283
2022/12/13,542,spoke,24101,2224,0,6,31,38,19,5,0,99,1,0,1,3,0,0,1,2,11,2.321928094887362,16.88195023563598,3.893872706066107,12,0,0,0.056155989,0.019498607,0.1091922005571031,0.030640669,3,0.4843214452266693,4.586520766423903,-0.990088701,3.859999999999999,-1.023995963,4.6642,0.0,0.0114,0.1132,0.32,0.3511,0.1638,0.0405,21.839318867916944,7.738,5.848,-24.455202658329924,5.28,0.0,0.0059,0.0618,0.1929,0.298,0.2686,0.1728,4.2704,0.0,0.0247,0.1923,0.3876,0.2918,0.0905,0.0131
2022/12/12,541,apply,22873,2150,0,5,28,38,22,7,1,101,0,1,0,4,1,1,1,4,12,1.921928094887362,18.67710265924551,3.407969090169723,4,1,0,0.051253482,0.033983287,0.070194986,0.030640669,2,0.4973062962293625,4.097335,-0.811157227,4.03,-0.93009542,4.6943,0.0002,0.0095,0.0933,0.3145,0.3905,0.1593,0.0327,23.690521027214928,6.232,3.606,-21.068494899611363,5.1445,0.0001,0.0051,0.0565,0.2156,0.3523,0.252,0.1184,4.3317,0.0003,0.018,0.1597,0.3983,0.3336,0.0756,0.0145
2022/12/11,540,naive,21947,2075,1,7,24,32,24,11,1,100,1,0,1,2,0,0,2,1,8,2.321928094887362,23.25787983,4.719572814489408,1,0,0,0.062172702,0.013927577,0.1008356545961003,0.016713092,2,0.4661977440118789,3.810348082022347,-0.744110107,4.1,-0.72495337,4.6061,0.0001,0.0149,0.1317,0.3271,0.3263,0.1581,0.0418,20.55021071967258,8.77,7.114,-26.86262941271431,5.0876,0.0,0.0071,0.0884,0.2484,0.2919,0.1943,0.1699,4.3698,0.0003,0.0209,0.1753,0.3719,0.2979,0.1112,0.0225
2022/12/10,539,knock,21157,2041,0,3,18,43,27,8,1,100,2,0,0,4,0,0,1,2,15,1.921928094887362,37.85931011351909,4.316298521723331,3,0,0,0.040334262,0.019498607,0.058495822,0.008356546,0,0.4207756131887435,4.810348082022347,-0.575064421,4.24,0.2601661732686317,4.7406,0.0003,0.011,0.1062,0.3207,0.3227,0.1703,0.0688,24.444332845209026,4.348,3.716,-23.067628676204443,5.1047,0.0001,0.0047,0.0651,0.2492,0.3193,0.2246,0.137,4.3076,0.0004,0.0162,0.1656,0.4161,0.308,0.0823,0.0114
2022/12/9,538,braid,23640,2165,0,10,36,35,14,3,0,98,0,0,0,3,0,0,2,2,8,2.321928094887362,13.91204711283579,4.392108240781607,4,0,0,0.053481894,0.017270195,0.079665738,0.055710306,0,0.3534421056509018,2.982030222172974,-1.24134326,3.63,0.7041898513979123,4.6416,0.0002,0.0133,0.1364,0.328,0.3069,0.1473,0.0679,19.79241218349662,7.75,5.334,-28.117698897612133,5.0142,0.0,0.0082,0.0869,0.254,0.3154,0.2044,0.1311,4.487,0.0002,0.0177,0.1434,0.3551,0.3302,0.124,0.0294
2022/12/8,537,infer,21199,1863,0,3,19,33,26,14,3,98,0,1,0,3,0,0,1,2,8,2.321928094887362,33.07472542505374,1.869677166154769,4,1,0,0.060278552,0.018384401,0.060724234,0.011142061,1,0.3861651837825775,2.768955396864123,-0.399069011,4.450000000000001,0.05584304,4.9426,0.0,0.0144,0.1064,0.2539,0.2968,0.2045,0.124,24.532076853629725,5.462,6.928,-24.69019794714754,5.5092,0.0001,0.0069,0.0741,0.1818,0.2077,0.1985,0.3309,4.785,0.0001,0.0145,0.1229,0.2666,0.3241,0.2023,0.0695
2022/12/7,536,joust,24899,2388,0,6,29,34,21,8,2,100,1,0,0,3,0,0,2,2,12,2.321928094887362,44.69663478039438,3.124341287815239,2,0,0,0.046685237,0.002228412,0.083008357,0.005571031,0,0.361522901,3.062686153786604,-0.790501118,4.0600000000000005,0.650901903,4.7314,0.0,0.0089,0.1012,0.3026,0.3666,0.1783,0.0424,22.176464319275272,6.51,5.162,-26.864429126081504,5.1233,0.0001,0.0052,0.0645,0.22,0.3367,0.2587,0.1148,4.7613,0.0,0.0044,0.0979,0.3123,0.354,0.1802,0.0512
2022/12/6,535,amber,23509,2261,0,6,22,33,24,12,3,100,0,1,0,3,0,0,1,2,9,2.321928094887362,27.22714839424142,2.977797413761102,8,1,0,0.062729805,0.017270195,0.066852368,0.016713092,0,0.2863960713148117,3.967612483818545,-0.566918552,4.289999999999999,1.1463178179703033,4.6544,0.0001,0.0146,0.1414,0.3233,0.2917,0.1531,0.0758,22.18207464316358,6.596,6.112,-27.314263659037184,5.1038,0.0,0.0077,0.0805,0.229,0.3108,0.2271,0.1449,4.3818,0.0001,0.0223,0.1892,0.36,0.2785,0.1123,0.0376
2022/12/5,534,woken,23153,2200,0,2,10,25,36,23,4,100,1,0,0,3,0,0,1,1,12,2.321928094887362,32.04238331,4.279696087857467,4,1,0,0.052367688,0.016713092,0.069637883,0.011142061,2,0.3993274122476578,3.178324867316942,0.018868804,4.88,-0.283984056,5.0522,0.0,0.014,0.0957,0.2168,0.2955,0.2536,0.1244,20.278570114471183,7.672,6.018,-27.329537537645592,5.4795,0.0,0.0063,0.0607,0.1619,0.2551,0.2503,0.2657,5.1006,0.0001,0.015,0.0799,0.2073,0.3128,0.2567,0.1282
2022/12/4,533,adore,25577,2398,2,17,32,29,15,5,1,101,0,1,1,2,0,0,1,1,6,2.321928094887362,43.35970942708686,3.520690632574555,4,0,0,0.073983287,0.030083565,0.1013927576601671,0.005571031,0,0.4092888921499252,3.888431238,-1.258730292,3.59,0.3359141375705754,4.601,0.0,0.0112,0.1341,0.328,0.334,0.1546,0.0381,22.072316848870255,7.224,7.724,-24.52118346544714,5.027,0.0,0.0073,0.0761,0.2505,0.3333,0.214,0.1188,4.2437,0.0003,0.0258,0.1832,0.4084,0.2969,0.0737,0.0117
2022/12/3,532,torso,23873,2260,0,4,35,36,17,6,1,99,0,0,1,3,0,0,1,2,5,1.921928094887362,17.18208556149732,4.576783947341316,2,0,0,0.068857939,0.04902507,0.074651811,0.030640669,2,0.4756452530622482,3.269557747433308,-0.948647141,3.91,-0.787253967,4.3706,0.0,0.0151,0.1611,0.3984,0.3065,0.1013,0.0176,19.080710433524235,7.69,7.28,-27.42183787162661,4.7361,0.0,0.0074,0.1015,0.322,0.3405,0.1739,0.0547,4.1763,0.0002,0.0227,0.2083,0.422,0.2719,0.066,0.0089
2022/12/2,531,chafe,24646,2343,0,6,30,33,19,9,2,99,0,0,1,3,0,0,1,2,13,2.321928094887362,24.95484423721123,3.144122805635369,6,0,0,0.057604457,0.018384401,0.1036211699164345,0.011142061,0,0.3701295673847198,2.437962177822698,-0.81804359,4.05,0.5941461538595467,4.8952,0.0,0.0137,0.1057,0.2594,0.3078,0.2197,0.0937,21.723604788563613,7.534,6.394,-24.895763860542715,5.5617,0.0,0.007,0.0569,0.1591,0.2298,0.2388,0.3084,4.8002,0.0,0.0084,0.1046,0.2955,0.336,0.1809,0.0746
2022/12/1,530,eject,22628,2200,0,2,11,35,36,14,2,100,1,1,0,3,0,0,1,2,14,1.921928094887362,86.71315026697177,3.268659593995378,2,0,0,0.063844011,0.002228412,0.059052925,0.002785515,0,0.3390669405460357,3.155157002264916,-0.215600848,4.59,0.798985354,4.6243,0.0,0.0097,0.0966,0.3234,0.4134,0.1438,0.0131,27.99280481471423,4.082,7.478,-12.915879378835774,5.0544,0.0001,0.0049,0.0575,0.2314,0.3731,0.2501,0.0829,4.7897,0.0003,0.0098,0.0706,0.2617,0.4554,0.1812,0.021
2022/11/30,529,study,22569,2405,0,6,30,33,19,10,2,100,0,0,0,4,1,0,1,2,9,2.321928094887362,19.54100640256102,3.111915236488605,1,0,0,0.044233983,0.030083565,0.08356546,0.022284123,0,0.4343863576650619,4.690121447501861,-0.80555886,4.07,0.1704115615538594,4.5094,0.0001,0.015,0.1541,0.3734,0.2757,0.127,0.0547,22.19026069881035,7.308,4.874,-24.93898207346984,5.0434,0.0,0.0085,0.0952,0.2842,0.2646,0.1515,0.196,4.1292,0.0002,0.0267,0.242,0.4234,0.214,0.0699,0.0238
2022/11/29,528,undue,23739,2316,0,3,19,35,29,13,2,101,0,1,1,2,0,0,2,2,6,1.921928094887362,27.34542438893366,3.380362815821457,5,0,1,0.050584958,0.030083565,0.066852368,0.022284123,1,0.364562389,2.768955396864123,-0.437833965,4.4,0.1983003785690221,4.3719,0.0,0.0144,0.1397,0.4036,0.3508,0.0849,0.0066,24.97138968975231,5.804,5.844,-21.282201593081588,4.7115,0.0,0.0071,0.0885,0.3258,0.3779,0.1658,0.0349,4.2421,0.0,0.0196,0.1661,0.4348,0.3167,0.0577,0.0051
2022/11/28,527,tepid,26051,2484,0,10,38,35,13,3,0,99,0,0,0,3,0,0,1,1,8,2.321928094887362,16.79792960662526,4.024754878398197,0,0,0,0.059498607,0.030083565,0.064066852,0.038997214,1,0.3645355284214019,2.405777494451296,-1.277121663,3.5999999999999996,0.1984775094861096,4.289,0.0001,0.0195,0.1776,0.4052,0.2999,0.0871,0.0106,21.11736314509112,7.042,6.982,-24.76702823926018,4.6612,0.0,0.0112,0.1193,0.3245,0.3373,0.1575,0.0502,4.2444,0.0,0.0163,0.2012,0.4148,0.2728,0.0793,0.0156
2022/11/27,526,happy,25206,2356,0,6,28,39,19,6,1,99,0,0,0,4,1,1,1,3,15,1.921928094887362,23.59198361162647,4.513846284534354,11,0,0,0.046573816,0.033983287,0.072423398,0.022284123,16,0.5737181842327118,5.522129756061506,-0.89027667,3.959999999999999,-2.516461912,5.4259,0.0003,0.0055,0.0534,0.1664,0.2741,0.2838,0.2165,21.462131873501814,7.756,4.018,-27.281194897736235,6.0876,0.0001,0.0029,0.0262,0.0869,0.1669,0.198,0.519,5.1644,0.0,0.0132,0.0818,0.2125,0.2865,0.2319,0.1741
2022/11/26,525,clean,26381,2424,1,17,36,31,12,3,0,100,0,0,0,3,0,0,2,2,7,2.321928094887362,13.08224375087278,4.875153137922253,6,0,0,0.068412256,0.039554318,0.084679666,0.044568245,1,0.4185735344886779,5.083103623054729,-1.426590085,3.45,-0.157870394,4.57,0.0002,0.0159,0.1296,0.3359,0.3351,0.153,0.0303,19.446466390487245,7.584,6.886,-28.3518751208884,5.0986,0.0,0.007,0.0735,0.2397,0.3122,0.2289,0.1387,4.1775,0.0001,0.0268,0.2053,0.4185,0.2736,0.064,0.0117
2022/11/25,524,itchy,24197,2329,0,8,28,40,18,5,1,100,0,1,0,4,1,0,1,4,13,2.321928094887362,39.70165532879819,2.497676196228642,1,0,0,0.048356546,0.033983287,0.047910864,0.011142061,0,0.4139579713344574,3.360020003890622,-0.962236285,3.89,0.3051243898089921,4.0997,0.0,0.0162,0.1962,0.4959,0.2575,0.0318,0.0024,25.63585767217083,4.368,5.374,-17.813781191217036,4.4034,0.0,0.008,0.1272,0.4146,0.364,0.076,0.0102,4.0121,0.0002,0.021,0.2183,0.5093,0.2297,0.0212,0.0003
2022/11/24,523,feast,27705,2725,5,13,25,27,19,10,2,101,0,0,0,3,0,0,2,2,8,2.321928094887362,12.32219545,1.953139800010316,4,0,0,0.066183844,0.018384401,0.089693593,0.061281337,0,0.3444980949163437,3.827128262,-0.958182752,3.83,0.7631701821248439,4.7885,0.0,0.0155,0.1206,0.2704,0.3168,0.2068,0.0699,20.441800895595684,7.64,7.698,-27.662872827076377,5.5182,0.0,0.0078,0.0698,0.1769,0.212,0.2089,0.3246,4.6892,0.0,0.0262,0.1306,0.2546,0.3447,0.2042,0.0397
2022/11/23,522,drive,26663,2451,1,12,32,30,18,6,1,100,1,0,1,3,0,0,1,2,9,2.321928094887362,17.71925369952767,3.030604373718116,2,0,0,0.055598886,0.013927577,0.098050139,0.027855153,1,0.4303824543952942,5.184540779950126,-1.090955734,3.76,-0.235743064,4.6856,0.0,0.0132,0.1287,0.3128,0.3088,0.1776,0.0589,21.76351613063172,7.226,6.178,-25.58237993486563,5.0911,0.0,0.0073,0.0844,0.2359,0.2964,0.2343,0.1417,4.2017,0.0004,0.0273,0.2076,0.4022,0.2686,0.0852,0.0087
2022/11/22,521,prime,27437,2534,1,10,26,32,21,9,1,100,0,0,1,3,0,0,1,2,9,2.321928094887362,12.46432616329579,4.177050983124842,10,0,0,0.06005571,0.030640669,0.1069637883008357,0.04178273,1,0.4529661774635315,4.262181018374553,-0.9014498,3.95,-0.384669032,5.0841,0.0001,0.0109,0.0832,0.2315,0.2981,0.2373,0.1389,20.16397697009691,7.764,6.0,-27.256872800989953,5.5282,0.0001,0.006,0.0554,0.1559,0.2514,0.2491,0.2821,4.5176,0.0,0.0187,0.1459,0.3213,0.3505,0.1404,0.0232
2022/11/21,520,axiom,24288,2382,0,5,19,33,27,13,3,100,1,1,0,2,0,0,2,1,14,2.321928094887362,33.03677616501146,2.891799001864011,1,0,0,0.050807799,0.003899721,0.056267409,0.013927577,0,0.3590067505836486,2.194924129136403,-0.45626986,4.390000000000001,0.66749439,4.4532,0.0001,0.0129,0.1296,0.3813,0.3569,0.1056,0.0136,25.724578251430316,4.908,5.042,-17.956285396025336,4.9653,0.0001,0.0074,0.074,0.2543,0.3556,0.227,0.0816,4.365,0.0001,0.019,0.1485,0.3897,0.3445,0.0873,0.0109
2022/11/20,519,brave,24991,2396,1,6,17,27,27,18,5,101,1,0,1,3,0,0,1,2,10,2.321928094887362,15.36386962623662,2.699172818834085,9,0,0,0.059387187,0.013927577,0.101949861,0.027855153,1,0.4146740347146987,4.500812659420713,-0.293321371,4.5600000000000005,-0.132155556,5.1917,0.0004,0.0095,0.0651,0.2016,0.3119,0.2694,0.1421,21.032949370667534,8.062,5.826,-27.35716483230752,5.8889,0.0,0.0035,0.038,0.1154,0.1889,0.2176,0.4366,4.6239,0.0003,0.016,0.1291,0.3224,0.3238,0.1631,0.0453
2022/11/19,518,avert,24749,2400,0,7,26,35,22,9,1,100,1,1,0,3,0,0,1,2,8,2.321928094887362,80.79435068180194,1.849586409417042,6,0,0,0.070417827,0.013927577,0.074651811,0.002785515,2,0.4400272607803345,2.783195835978733,-0.809883714,4.05,-0.552374893,4.5609,0.0,0.0124,0.116,0.3471,0.3671,0.1376,0.0198,24.320673471873572,5.532,7.38,-22.743760767097665,5.1209,0.0,0.0073,0.0595,0.226,0.3373,0.252,0.1179,4.6317,0.0001,0.0112,0.0986,0.3257,0.3957,0.1488,0.0199
2022/11/18,517,glyph,29208,2899,0,2,23,49,20,5,1,100,0,0,0,5,1,0,0,5,14,2.321928094887362,27.47305322128851,3.821345821,0,0,0,0.039888579,0.028412256,0.052924791,0.022284123,0,0.3400186449289322,2.069985392528103,-0.746022105,4.08,0.79270944,4.0963,0.0,0.0169,0.1968,0.4997,0.2506,0.0317,0.0043,25.765488184243964,3.65,3.208,-16.643997071083454,4.3686,0.0,0.0096,0.1316,0.4385,0.3334,0.0747,0.0122,4.1025,0.0003,0.0136,0.1771,0.5285,0.2555,0.0228,0.0022
2022/11/17,516,there,27465,2530,0,14,35,33,14,4,0,100,0,0,1,3,0,0,1,2,8,1.921928094887362,10.42184795522538,1.644122805635369,7,0,0,0.07821727,0.038997214,0.1086350974930362,0.080779944,33,0.6312569499015808,6.637707562972593,-1.297270417,3.59,-3.328453144,4.6295,0.0001,0.0088,0.0985,0.343,0.378,0.1469,0.0247,20.053342520253857,7.612,9.308,-28.604698167053325,5.2427,0.0,0.0044,0.0505,0.1921,0.3371,0.2828,0.1331,4.2342,0.0001,0.0145,0.1702,0.4464,0.3098,0.0531,0.0059
